id,exercise_id,file_path,metadata_file,status,provenance,added_at
271,MAT_P4FUNCOE_4FIN_ANA_003.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
272,MAT_P4FUNCOE_4FIN_ANA_004.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
273,MAT_P4FUNCOE_4FIN_ANA_004.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
274,MAT_P4FUNCOE_4FIN_ANA_005.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
275,MAT_P4FUNCOE_4FIN_ANA_005.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
276,MAT_P4FUNCOE_4FIN_ANA_006.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
277,MAT_P4FUNCOE_4FIN_ANA_006.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
278,MAT_P4FUNCOE_4FIN_GRA_001.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
279,MAT_P4FUNCOE_4FIN_GRA_001.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
280,MAT_P4FUNCOE_4FIN_GRA_002.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
281,MAT_P4FUNCOE_4FIN_GRA_002.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
282,MAT_P4FUNCOE_4FIN_GRA_003.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
283,MAT_P4FUNCOE_4FIN_GRA_003.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
284,MAT_P4FUNCOE_4FIN_GRA_004.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
285,MAT_P4FUNCOE_4FIN_GRA_004.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
286,MAT_P4FUNCOE_4FIN_GRA_005.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
287,MAT_P4FUNCOE_4FIN_GRA_005.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
288,MAT_P4FUNCOE_4FIN_TRH_001.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
289,MAT_P4FUNCOE_4FIN_TRH_001.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
290,MAT_P4FUNCOE_4FIN_TRH_002.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
291,MAT_P4FUNCOE_4FIN_TRH_002.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
292,MAT_P4FUNCOE_4FIN_TRH_003.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
293,MAT_P4FUNCOE_4FIN_TRH_003.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
294,MAT_P4FUNCOE_4FIN_TRH_004.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
295,MAT_P4FUNCOE_4FIN_TRH_004.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
296,MAT_P4FUNCOE_4FIN_TRH_005.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
297,MAT_P4FUNCOE_4FIN_TRH_005.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
